snapped_at,price,market_cap,total_volume
2018-12-26 00:00:00 UTC,0.9915684031637952,65788044.43894202,339004.12231058587
2018-12-27 00:00:00 UTC,0.9958968767402652,67129963.65376464,257044.9965187169
2018-12-28 00:00:00 UTC,1.0047881890247576,67268099.83134606,495072.1435961516
2018-12-29 00:00:00 UTC,1.005931456625052,67986262.76775202,902808.8554879999
2018-12-30 00:00:00 UTC,0.988533405728849,68147726.48175082,407787.39622360223
2018-12-31 00:00:00 UTC,1.001047145581001,69190043.04194503,179592.9571232195
2019-01-01 00:00:00 UTC,0.9973698879806986,69435411.74656485,265121.41349568916
2019-01-02 00:00:00 UTC,0.9973234454702871,69339056.26822464,264070.0463488257
2019-01-03 00:00:00 UTC,0.9939689560409801,70099046.31772912,580260.5989529735
2019-01-04 00:00:00 UTC,0.9947794205810766,69559982.42101792,463549.13624088943
2019-01-05 00:00:00 UTC,0.9954915882614086,69073786.46133795,232663.03745207714
2019-01-06 00:00:00 UTC,0.9962349846665043,69700010.42560384,436097.32183896645
2019-01-07 00:00:00 UTC,0.9940859307457314,69442478.58088504,197374.97815502045
2019-01-08 00:00:00 UTC,0.9946938709206679,69981712.00574407,226215.9554162545
2019-01-09 00:00:00 UTC,0.9890924113150682,69343449.81807815,346646.52630321786
2019-01-10 00:00:00 UTC,0.9874191479232484,69694566.48129773,179984.08208891036
2019-01-11 00:00:00 UTC,0.9898106608889167,69511616.13813984,312585.78563942236
2019-01-12 00:00:00 UTC,0.9853693469126716,68811221.88085674,169488.43872193558
2019-01-13 00:00:00 UTC,0.9929967126798025,69721484.68544306,106761.08395956569
2019-01-14 00:00:00 UTC,0.995571718117824,69578530.17382254,177603.07540637333
2019-01-15 00:00:00 UTC,1.0067811227286938,71649321.72674057,506307.909454422
2019-01-16 00:00:00 UTC,1.0071834786029419,71808938.46630464,407267.8873423402
2019-01-17 00:00:00 UTC,0.9940433688617918,71269099.64374198,287923.0268262704
2019-01-18 00:00:00 UTC,1.0050840361940794,71723288.30890317,350018.1577188718
2019-01-19 00:00:00 UTC,0.9977207829942265,71497733.61029983,303118.1145455647
2019-01-20 00:00:00 UTC,0.9963774335107526,71677562.22141819,264705.26014771534
2019-01-21 00:00:00 UTC,0.994346590143581,72364260.73846486,363862.81153279834
2019-01-22 00:00:00 UTC,0.9973733110936058,72727119.9348593,303220.7150307725
2019-01-23 00:00:00 UTC,0.9970991902893713,72883187.66732103,472517.7782155743
2019-01-24 00:00:00 UTC,1.0000751737526299,73467753.43158084,299812.24605053413
2019-01-25 00:00:00 UTC,1.0056218963690884,74823750.9652318,1067252.5944319263
